,method,duration,condition,memory_usage,divergence_vector_field,h,epsilon,gamma,tested_param,error_u,error_p
44,global,0.03652310371398926,22185.914092465533,44.195327999999996,3.55834111220934e-16,0.1,0.0001,10.0,gamma,1.3940324907285683e-13,5.013023309921098e-15
45,duality,0.023646831512451172,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.0001,10.0,gamma,3.794864876233604e-13,0.5268358508973944
46,penalization,0.09270954132080078,10617713.913497036,154.06848,5.7605455211233245e-05,0.1,0.0001,10.0,gamma,0.020851716365066008,0.0005043890704940695
47,duality penalization,0.06368374824523926,54016.955943184366,279.707136,1.84839582877753e-15,0.1,0.0001,10.0,gamma,6.312927111640475e-13,0.526835850897189
48,global,0.03682851791381836,22185.914092465533,44.195327999999996,3.55834111220934e-16,0.1,0.0001,20.0,gamma,1.3940324907285683e-13,5.013023309921098e-15
49,duality,0.02934098243713379,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.0001,20.0,gamma,3.794864876233604e-13,0.5268358508973944
50,penalization,0.09789633750915527,10617713.913497036,154.06848,5.7605455211233245e-05,0.1,0.0001,20.0,gamma,0.020851716365066008,0.0005043890704940695
51,duality penalization,0.09117603302001953,22795.35647719843,279.707136,6.812448989795212e-16,0.1,0.0001,20.0,gamma,3.923493517432392e-13,0.5268358508956617
52,global,0.0405271053314209,22185.914092465533,44.195327999999996,3.55834111220934e-16,0.1,0.0001,50.0,gamma,1.3940324907285683e-13,5.013023309921098e-15
53,duality,0.01346278190612793,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.0001,50.0,gamma,3.794864876233604e-13,0.5268358508973944
54,penalization,0.09301590919494629,10617713.913497036,154.06848,5.7605455211233245e-05,0.1,0.0001,50.0,gamma,0.020851716365066008,0.0005043890704940695
55,duality penalization,0.04642152786254883,50898.336924997006,279.707136,6.139575026288892e-16,0.1,0.0001,50.0,gamma,8.042655927838583e-13,0.5268358508973616
56,global,0.027070283889770508,22185.914092465533,44.195327999999996,3.55834111220934e-16,0.1,0.0001,100.0,gamma,1.3940324907285683e-13,5.013023309921098e-15
57,duality,0.013608455657958984,1152.019234967399,150.34982399999998,1.500653364402607e-14,0.1,0.0001,100.0,gamma,3.794864876233604e-13,0.5268358508973944
58,penalization,0.06613564491271973,10617713.913497036,154.06848,5.7605455211233245e-05,0.1,0.0001,100.0,gamma,0.020851716365066008,0.0005043890704940695
59,duality penalization,0.0468597412109375,99660.3669960595,279.707136,6.437449569936642e-16,0.1,0.0001,100.0,gamma,1.9041289219266662e-12,0.5268358508974171
